time,lat,lon,pitch,roll,yaw,pitch_rate,roll_rate,yaw_rate,pitch_gain,roll_gain,yaw_gain,pitch_setpoint,roll_setpoint,yaw_setpoint,throttle_setpoint,editing_gain
220,0.0,0.0,1.7031240463256836,1.035936713218689,-1.5265675783157349,0.017115537077188492,-0.0063740708865225315,0.011739883571863174,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
440,0.0,0.0,1.8529301881790161,1.471697449684143,-2.20582914352417,-0.053829606622457504,0.02856317162513733,-0.005692855454981327,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
660,0.0,0.0,1.6942111253738403,1.7426834106445312,-2.448516368865967,0.07998418807983398,-0.019428908824920654,0.00838271901011467,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
880,0.0,0.0,2.2939164638519287,1.7920724153518677,-2.802501916885376,-0.002429001033306122,0.04385469853878021,-0.0036503197625279427,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
1100,0.0,0.0,2.362067937850952,1.8026288747787476,-2.9073195457458496,0.06541477143764496,0.013208064250648022,0.006779351271688938,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
1320,0.0,0.0,2.940979480743408,1.6411546468734741,-3.0085344314575195,0.11188417673110962,-0.04027819260954857,0.012832211330533028,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
1540,0.0,0.0,3.6213109493255615,1.4261093139648438,-3.217886447906494,-0.03655216097831726,0.022152960300445557,-0.0009097512811422348,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
1760,0.0,0.0,2.775895595550537,1.74956214427948,-3.2740285396575928,0.020745333284139633,-0.001654941588640213,0.003945915028452873,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
1980,0.0,0.0,4.646050453186035,1.1788603067398071,-3.3236536979675293,0.14602985978126526,-0.04757678881287575,0.006693819537758827,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
2200,0.0,0.0,4.340111255645752,1.2764614820480347,-3.466395139694214,-0.07109954208135605,0.02059517800807953,0.006023327354341745,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
2420,0.0,0.0,3.46547532081604,1.6550875902175903,-3.5325491428375244,-0.01689888909459114,0.010261579416692257,0.002651797141879797,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
2640,0.0,0.0,3.225113868713379,1.6729027032852173,-3.5934526920318604,-0.0209747813642025,0.009482493624091148,0.0021242056973278522,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
2860,0.0,0.0,3.124342679977417,1.676452398300171,-3.597144842147827,0.02478192374110222,-0.03303837403655052,0.007383087649941444,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
3080,0.0,0.0,3.276810884475708,1.9025799036026,-3.712590456008911,0.06233620271086693,0.028839606791734695,-0.0016523618251085281,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
3300,0.0,0.0,3.3241078853607178,1.901505708694458,-3.7878479957580566,0.022619573399424553,0.030267566442489624,0.017482686787843704,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
3520,0.0,0.0,3.3922278881073,1.9396687746047974,-3.819133996963501,0.011167582124471664,0.02328040450811386,0.011508297175168991,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
3740,0.0,0.0,3.44221830368042,1.8717858791351318,-3.8378567695617676,0.02403939887881279,-0.004628476221114397,0.0034379251301288605,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
3960,0.0,0.0,3.142376661300659,1.99275803565979,-3.9640681743621826,-0.012432180345058441,0.0391843318939209,-0.012170134112238884,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
4180,0.0,0.0,3.1624581813812256,2.017882823944092,-3.9707818031311035,0.037779927253723145,-0.01808501034975052,0.007986579090356827,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
4400,0.0,0.0,3.03399658203125,1.9978395700454712,-4.02231502532959,-0.017850711941719055,0.0006882492452859879,0.016544045880436897,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
4620,0.0,0.0,2.5402705669403076,2.1130356788635254,-4.0058488845825195,-0.012883726507425308,0.013518729247152805,0.0038693943060934544,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
4840,0.0,0.0,2.3388683795928955,2.066105842590332,-3.9103853702545166,0.013925828039646149,0.022424396127462387,0.006373016629368067,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
5060,0.0,0.0,2.0583600997924805,1.9595996141433716,-3.8796820640563965,-0.01836623251438141,0.017220374196767807,0.0030260724015533924,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
5280,0.0,0.0,1.674460530281067,2.0321896076202393,-3.7403981685638428,-0.0516413077712059,-0.014557833783328533,0.005438328720629215,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
5500,0.0,0.0,1.0016225576400757,1.851378083229065,-3.6045401096343994,0.0012402459979057312,0.013250324875116348,-0.003976736217737198,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
5720,0.0,0.0,0.8541768193244934,1.8725181818008423,-3.4157071113586426,0.035227175801992416,0.012886924669146538,0.0014023305848240852,0.0,0.0,0.0,-706,-706,-706,-104,b'\x00'
